slug,firm_name,short_description,founding_year,team_size_label,office_locations,languages,jurisdictions,practice_areas,website,sources,key_lawyer_slugs,verified,featured,status
ambiel-belfiore-hanna-advogados,Ambiel Belfiore Hanna Advogados,"Sports and entertainment-focused firm advising gaming operators on regulatory compliance, betting law, and sports-related matters.",2008,11-50,"São Paulo, Brazil",Portuguese; English,brazil,regulatory-compliance;sports-betting;licensing;aml-kyc;responsible-gaming,https://ambiel.adv.br/en/,https://chambers.com/law-firm/ambiel-belfiore-e-hanna-advogados-brazil-95:22789239 | https://www.lawinsport.com/sports-law-advisors/law-firms/item/ambiel-belfiore-gomes-hanna-advogados | https://ambiel.adv.br/en/,,true,false,published
bichara-e-motta-advogados,Bichara e Motta Advogados,"Sports and entertainment specialist providing gambling and betting law advice covering licensing, regulatory compliance, and responsible gaming.",2001,51-200,"São Paulo, Brazil; Rio de Janeiro, Brazil; Brasília, Brazil; Belo Horizonte, Brazil; Vitória, Brazil",Portuguese; English,brazil,licensing;regulatory-compliance;sports-betting;aml-kyc;responsible-gaming;advertising-promotions,https://www.bicharaemotta.com.br/en/,https://chambers.com/department/bichara-e-motta-advogados-gambling-and-betting-brazil-95:3656:41:1:5547 | https://www.bicharaemotta.com.br/en/betting-law-enacted-in-brazil-overview-of-key-rules/ | https://www.bicharaemotta.com.br/,,true,false,published
demarest-advogados,Demarest Advogados,"Large full-service firm advising gambling and betting operators on corporate matters, M&A, tax, and intellectual property.",1948,200+,"São Paulo, Brazil; Rio de Janeiro, Brazil; Brasília, Brazil",Portuguese; English,brazil,licensing;regulatory-compliance;corporate-ma;tax;sports-betting;casino;intellectual-property,https://www.demarest.com.br/,https://www.demarest.com.br/en/gambling-regulation-in-brazil/ | https://chambers.com/law-firm/demarest-advogados-brazil-95:2342 | https://www.demarest.com.br/en/,,true,false,published
finocchio-and-ustra,Finocchio & Ustra,Campinas-based full-service firm with experience advising on Brazil's betting and gaming regulatory framework and SPA licensing.,,51-200,"Campinas, Brazil; São Paulo, Brazil; Ribeirão Preto, Brazil; São José dos Campos, Brazil",Portuguese; English,brazil,licensing;regulatory-compliance;sports-betting;aml-kyc,https://www.fius.com.br/en/,https://chambers.com/law-firm/finocchio-ustra-brazil-95:23032926 | https://www.legal500.com/firms/236700-finocchio-ustra-sociedade-de-advogados/c-brazil/news-and-developments/brazils-ministry-of-finance-receives-over-100-applications-from-betting-companies-to-operate-in-2025 | https://www.fius.com.br/,,true,false,published
lefosse-advogados,Lefosse Advogados,"Full-service firm with focused gambling and betting practice, advising operators on licensing procedures and regulatory compliance.",,51-200,"São Paulo, Brazil; Rio de Janeiro, Brazil; Brasília, Brazil",Portuguese; English,brazil,licensing;regulatory-compliance;sports-betting;casino;aml-kyc;advertising-promotions,https://lefosse.com/en/,https://chambers.com/department/lefosse-advogados-gambling-and-betting-brazil-95:3656:41:1:3486 | https://chambers.com/law-firm/lefosse-advogados-brazil-95:3486 | https://lefosse.com/en/,,true,false,published
machado-meyer,Machado Meyer,"Large full-service firm with dedicated gaming and betting team advising on SPA licensing, compliance, and responsible gaming policies.",1972,200+,"São Paulo, Brazil; Rio de Janeiro, Brazil; Brasília, Brazil; Belo Horizonte, Brazil",Portuguese; English,brazil,licensing;regulatory-compliance;aml-kyc;sports-betting;casino;responsible-gaming;tax,https://www.machadomeyer.com.br/,https://www.machadomeyer.com.br/en/practice-areas/industries/gaming-and-betting | https://www.machadomeyer.com.br/en/recent-publications/publications/digital-law/an-overview-of-gambling-betting-gaming-and-wagering-practices | https://chambers.com/law-firm/machado-meyer-brazil-95:3490,,true,false,published
maia-yoshiyasu-advogados,Maia Yoshiyasu Advogados,"Leading Brazilian gaming firm specializing in sports betting, online casinos, e-sports, fantasy sports, and responsible gaming.",2016,11-50,"São Paulo, Brazil",Portuguese; English; Spanish,brazil,licensing;regulatory-compliance;sports-betting;casino;aml-kyc;responsible-gaming;market-entry-strategy,https://mylaw.com.br/en/,https://mylaw.com.br/en/areas/gaming/ | https://iclg.com/firms/maia-yoshiyasu-advogados | https://chambers.com/law-firm/maia-yoshiyasu-advogados-mylaw-brazil-95:23013532,,true,false,published
mattos-filho,Mattos Filho,"Full-service firm with experienced gambling and betting team, advising on licensing, regulatory compliance, and entertainment law.",1992,200+,"São Paulo, Brazil; Rio de Janeiro, Brazil; Brasília, Brazil; Campinas, Brazil",Portuguese; English,brazil,licensing;regulatory-compliance;sports-betting;casino;aml-kyc;advertising-promotions;tax,https://www.mattosfilho.com.br/,https://chambers.com/department/mattos-filho-gambling-and-betting-brazil-95:3656:41:1:2558 | https://chambers.com/law-firm/mattos-filho-brazil-95:2558 | https://www.mattosfilho.com.br/,,true,true,published
pinheiro-neto-advogados,Pinheiro Neto Advogados,"Market leader in gambling and betting, advising domestic and international operators on regulatory, transactional, and M&A matters.",1942,200+,"São Paulo, Brazil; Rio de Janeiro, Brazil; Brasília, Brazil",Portuguese; English,brazil,licensing;regulatory-compliance;corporate-ma;tax;aml-kyc;sports-betting;casino;litigation-disputes,https://www.pinheironeto.com.br/,https://chambers.com/law-firm/pinheiro-neto-advogados-brazil-95:3500 | https://chambers.com/department/pinheiro-neto-advogados-gambling-and-betting-brazil-95:3656:41:1:3500 | https://latinlawyer.com/rankings/latin-lawyer-250/profile/firm/pinheiro-neto-advogados,,true,true,published
tozzinifreire-advogados,TozziniFreire Advogados,"Full-service firm with dedicated gaming and e-sports sector group experienced in betting transactions, licensing, and consumer litigation.",1976,200+,"São Paulo, Brazil; Rio de Janeiro, Brazil; Brasília, Brazil; Porto Alegre, Brazil; Campinas, Brazil",Portuguese; English,brazil,licensing;regulatory-compliance;sports-betting;casino;corporate-ma;litigation-disputes;aml-kyc,https://tozzinifreire.com.br/,https://chambers.com/department/tozzinifreire-gambling-and-betting-brazil-95:3656:41:1:2348 | https://tozzinifreire.com.br/en/advogados/jun-makuta | https://chambers.com/law-firm/tozzinifreire-advogados-brazil-95:3486,,true,false,published
